% Model,ion trap blade.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 24 2023, 20:38"
% Dimension,3
% Nodes,891
% Expressions,21
% Description,Electric potential
% Length unit,mm
% x,y,z,esbe.V (V) @ delta=0,esbe.V (V) @ delta=1,esbe.V (V) @ delta=2,esbe.V (V) @ delta=3,esbe.V (V) @ delta=4,esbe.V (V) @ delta=5,esbe.V (V) @ delta=6,esbe.V (V) @ delta=7,esbe.V (V) @ delta=8,esbe.V (V) @ delta=9,esbe.V (V) @ delta=10,esbe.V (V) @ delta=11,esbe.V (V) @ delta=12,esbe.V (V) @ delta=13,esbe.V (V) @ delta=14,esbe.V (V) @ delta=15,esbe.V (V) @ delta=16,esbe.V (V) @ delta=17,esbe.V (V) @ delta=18,esbe.V (V) @ delta=19,esbe.V (V) @ delta=20
0,0,-0.2948089617923584,0.14592230380334598,0.14389082811680193,0.14186879483661546,0.13985743558094954,0.13785798196807664,0.13587166561630942,0.13389971814376417,0.13194337116868698,0.1300038563093604,0.12808240518390535,0.12618024941051276,0.1242986206075895,0.12243875039327518,0.1206018703857426,0.11878921220319882,0.11700200746409212,0.11524148778627608,0.11350888478810722,0.11180543008794186,0.11013235530393717,0.10849089205421031
0,0,-0.2943588717743548,0.14577052740721808,0.14374328099254607,0.14172548969244364,0.13971838678268111,0.13772320553909656,0.13574117923764556,0.13377354115399387,0.13182152456402918,0.129886362743588,0.1279692889683725,0.12607153651421593,0.12419433865709084,0.12233892867274482,0.12050653983692033,0.11869840542541937,0.11691575871433829,0.11515983297904758,0.11343186149556594,0.11173307753976802,0.11006471438747334,0.10842800531439223
0,0,-0.29390878175635127,0.14561905303999662,0.14359603152604772,0.1415824778526747,0.13957962695554132,0.13758871377041682,0.13561097323312427,0.13364764027930726,0.13169994984470962,0.12976913686511016,0.12785643627610627,0.12596308301348197,0.12409031201306087,0.12223935821051485,0.12041145654155738,0.11860784194187696,0.11682974934740237,0.11507841369352606,0.11335506991611194,0.11166095295100381,0.10999729773387695,0.10836533920036862
0,0,-0.2934586917383477,0.1454678803413763,0.1434490793662097,0.1414397589753995,0.13944115576684024,0.13745450633852185,0.13548104728855243,0.13352201521478563,0.13157864671517222,0.12965217838772441,0.12774384683030665,0.1258548886408879,0.1239865404176142,0.12214003875829643,0.12031662026092083,0.11851752152339151,0.11674397914390716,0.11499722972004689,0.11327850984995985,0.11158905613166525,0.10993010516310048,0.10830289354214667
0,0,-0.29300860172034415,0.1453170089520135,0.143302424162784,0.14129733271953743,0.1393029728846869,0.13732058292081334,0.1353514010905425,0.13339666565627784,0.13145761488057384,0.129535487025979,0.12763152035489705,0.12574695312990902,0.12388302361361175,0.12204097006849413,0.12022203075700438,0.11842744394163851,0.11665844788515933,0.11491628084972327,0.11320218109796859,0.11151738689253149,0.10986313649591878,0.10824066817050593
0,0,-0.2925585117023405,0.14516643851335054,0.1431560655664192,0.14115519874487986,0.13916507797807626,0.13718694319543928,0.13522203432649538,0.13327159130050248,0.13133685404693662,0.12941906249521956,0.1275194565746559,0.1256392762146209,0.12377976134471552,0.12194215189422664,0.12012768779252736,0.11833760896898554,0.11657315535323132,0.11483556687431362,0.11312608346175385,0.11144594504512756,0.10979639155368842,0.10817866291683237
0,0,-0.2921084216843368,0.14501616866774913,0.14301000322856627,0.14101335671204823,0.13902747071679533,0.13705358684139812,0.13509294668464839,0.13314679184499006,0.13121636392110186,0.12930290451162724,0.12740765521505415,0.12553185763004593,0.12367675335532158,0.12184358398944517,0.12003359113100187,0.11824801637850929,0.11648810133089726,0.11475508758635755,0.11305021674366827,0.11137473040154494,0.10972987015854424,0.10811687761321892
0,0,-0.29165833166633326,0.14486619905840686,0.14286423680154015,0.14087180628253954,0.138890150771463,0.1369205135385515,0.13496413785404138,0.13302226698801728,0.13109614421061982,0.12918701279208633,0.1272961160024086,0.1254246971118086,0.12357399939058589,0.12174526610880865,0.11993974053658968,0.11815866594407937,0.11640328560163227,0.11467484277907403,0.11297458074663869,0.11130374277468708,0.10966357213328742,0.10805531209247926
0,0,-0.2912082416483297,0.14471652932941825,0.1427187659385722,0.1407305471186317,0.13875311781360866,0.13678772296755348,0.1348356075246056,0.13289801642870192,0.13097619462392202,0.1290713870543168,0.1271848386638163,0.12531779439645502,0.1234714991964681,0.12164719800775509,0.11984613577432796,0.11806955744023107,0.11631870794970528,0.11459483224635914,0.11289917527448917,0.11123298197818648,0.10959749730139262,0.10799396618809154
0,0,-0.29075815163032603,0.14456715912572454,0.14257359029366828,0.14058957888355078,0.13861637151551948,0.13665521480987453,0.1347073553869904,0.1327740398669897,0.13085651487018718,0.12895602701682507,0.1270738229270651,0.1252111492212018,0.12336925251958264,0.12154937944241778,0.11975277660991196,0.11798069064228056,0.11623436816001559,0.11451505578300186,0.11282400013164151,0.11116244782621953,0.10953164548705069,0.10793283973426243
0,0,-0.29030806161232237,0.14441808809311268,0.1424287095217538,0.1404489012412487,0.13847991155032663,0.13652298874782526,0.13457938113269952,0.1326503370035907,0.1307371046593821,0.1288409323989061,0.12696306852083805,0.1251047613240216,0.12326725910743619,0.12145181016975726,0.11965966280975232,0.1178920653262503,0.11615026601828798,0.11443551318426398,0.11274905512316469,0.11109214013388602,0.10946601651517923,0.10787193256576155
0,0,-0.2898579715943188,0.14426931587824793,0.1422841232785647,0.14030851385660292,0.13834373759202956,0.136391044464566,0.13445168445403666,0.13252690754003738,0.13061796370232753,0.12872610292061398,0.12685257517452075,0.12499863044374909,0.12316551870816123,0.12135448994739134,0.11956679414109772,0.11780368126898766,0.11606640131096108,0.11435620424631615,0.1126743400550051,0.11102205871679005,0.1094006102112986,0.10781124451823959
0,0,-0.28940788157631525,0.14412084212870663,0.1421398312207226,0.14016841639532523,0.13820784931543656,0.13625938164401868,0.13432426504415013,0.13240375117868386,0.13049909171057616,0.12861153830282784,0.1267423426182822,0.12489275631989405,0.12306403107076569,0.12125741853379918,0.11947417037184055,0.11771553824787928,0.11598277382506927,0.11427712876595514,0.11259985473370732,0.11095220339136874,0.10933542640180038,0.1077507754278576
0,0,-0.2889577915583117,0.14397266649285617,0.1419958330056485,0.1400286085239384,0.13807224639618837,0.13612799997097802,0.1341971225970064,0.13228086762264546,0.13038048839652777,0.12849723826720122,0.12663237058309873,0.124787138692802,0.12296279594498355,0.12116059568811455,0.11938179127068577,0.11762763604122756,0.11589938334853528,0.11419828654073172,0.11252559896658443,0.11088257397466217,0.10927046491352876,0.10769052513159538
0,0,-0.28850770154030814,0.14382478861996478,0.14185212829169136,0.13988908990982746,0.13793692851076167,0.13599689913106927,0.13407025680733198,0.1321582565759078,0.13026215347333836,0.1283832025361526,0.12652265880071978,0.1246817773034975,0.12286181308124033,0.12106402117026455,0.11928965660703167,0.11753997442802783,0.1158162296699436,0.11411967736891698,0.11245157256158678,0.11081317028454563,0.1092057255742307,0.10763049346701992
0,0,-0.28805761152230447,0.1436772081601857,0.14170871673802043,0.13974986022121988,0.1378018953365157,0.13586607881071017,0.13394366737070112,0.13203591774319007,0.13014408665497018,0.12826943083289777,0.12641320700361286,0.12457667189394012,0.12276108223081389,0.12096769474092611,0.11919776615104793,0.11745255318793074,0.11573331257860814,0.11404130104944377,0.11237777532745058,0.11074399213946667,0.10914120821224327,0.10757068027250566
0,0,-0.2876075215043008,0.143529924764435,0.14156559800460972,0.13961091912719742,0.13766714655153606,0.1357355386971144,0.13381735398351507,0.13191385083005353,0.13002628765620172,0.12815592288143146,0.12630401492511023,0.12447182220663727,0.1226606031456719,0.12087161616152403,0.11910611967363344,0.11736537210141279,0.11565063186452823,0.1139631573820325,0.11230420707356775,0.11067503935863715,0.10907691265665631,0.10751108538698356
