Time (us),Value
0.00010493249324932493,-7.218155123780187e-05
0.00010494589458945895,-7.216445623520015e-05
0.00010495929592959296,-7.214729983270044e-05
0.00010497269726972698,-7.213008199164348e-05
0.00010498609860986099,-7.211280267375272e-05
0.000104999499949995,-7.209546184113354e-05
0.00010501290129012901,-7.207805945627314e-05
0.00010502630263026303,-7.206059548203983e-05
0.00010503970397039704,-7.204306988168274e-05
0.00010505310531053106,-7.202548261883131e-05
0.00010506650665066507,-7.200783365749489e-05
0.00010507990799079909,-7.199012296206222e-05
0.00010509330933093309,-7.197235049730113e-05
0.00010510671067106711,-7.195451622835785e-05
0.00010512011201120112,-7.19366201207569e-05
0.00010513351335133514,-7.19186621404003e-05
0.00010514691469146915,-7.190064225356741e-05
0.00010516031603160317,-7.188256042691427e-05
0.00010517371737173717,-7.186441662747333e-05
0.00010518711871187119,-7.184621082265286e-05
0.0001052005200520052,-7.182794298023664e-05
0.00010521392139213922,-7.180961306838338e-05
0.00010522732273227323,-7.179122105562638e-05
0.00010524072407240725,-7.177276691087304e-05
0.00010525412541254125,-7.175425060340446e-05
0.00010526752675267527,-7.173567210287489e-05
0.00010528092809280928,-7.171703137931143e-05
0.0001052943294329433,-7.169832840311344e-05
0.0001053077307730773,-7.167956314505224e-05
0.00010532113211321132,-7.166073557627054e-05
0.00010533453345334533,-7.164184566828209e-05
0.00010534793479347935,-7.162289339297115e-05
0.00010536133613361336,-7.160387872259215e-05
0.00010537473747374738,-7.158480162976913e-05
0.00010538813881388138,-7.156566208749541e-05
0.0001054015401540154,-7.1546460069133e-05
0.00010541494149414941,-7.152719554841236e-05
0.00010542834283428343,-7.150786849943173e-05
0.00010544174417441745,-7.148847889665689e-05
0.00010545514551455146,-7.146902671492056e-05
0.00010546854685468548,-7.144951192942202e-05
0.00010548194819481948,-7.142993451572672e-05
0.0001054953495349535,-7.14102944497657e-05
0.00010550875087508751,-7.139059170783528e-05
0.00010552215221522153,-7.137082626659654e-05
0.00010553555355535554,-7.135099810307492e-05
0.00010554895489548956,-7.133110719465968e-05
0.00010556235623562356,-7.131115351910365e-05
0.00010557575757575758,-7.129113705452254e-05
0.00010558915891589159,-7.12710577793947e-05
0.00010560256025602561,-7.125091567256056e-05
0.00010561596159615962,-7.123071071322225e-05
0.00010562936293629364,-7.121044288094306e-05
0.00010564276427642764,-7.119011215564716e-05
0.00010565616561656166,-7.116971851761897e-05
0.00010566956695669567,-7.114926194750288e-05
0.00010568296829682969,-7.112874242630265e-05
0.0001056963696369637,-7.110815993538113e-05
0.00010570977097709772,-7.108751445645963e-05
0.00010572317231723172,-7.10668059716177e-05
0.00010573657365736574,-7.104603446329247e-05
0.00010574997499749975,-7.102519991427833e-05
0.00010576337633763377,-7.100430230772645e-05
0.00010577677767776778,-7.098334162714436e-05
0.0001057901790179018,-7.096231785639544e-05
0.0001058035803580358,-7.094123097969857e-05
0.00010581698169816982,-7.09200809816276e-05
0.00010583038303830383,-7.0898867847111e-05
0.00010584378437843785,-7.087759156143128e-05
0.00010585718571857186,-7.08562521102247e-05
0.00010587058705870588,-7.083484947948069e-05
0.00010588398839883988,-7.081338365554151e-05
0.0001058973897389739,-7.079185462510172e-05
0.00010591079107910791,-7.077026237520785e-05
0.00010592419241924193,-7.07486068932578e-05
0.00010593759375937593,-7.072688816700053e-05
0.00010595099509950995,-7.070510618453555e-05
