Time (us),Value
0.00012807280728072807,-5.615807586380442e-05
0.00012809280928092808,-5.618365141891531e-05
0.0001281128112811281,-5.6209410311550785e-05
0.00012813281328132812,-5.623535126344587e-05
0.00012815281528152814,-5.626147297595014e-05
0.00012817281728172815,-5.628777413024379e-05
0.0001281928192819282,-5.631425338755375e-05
0.00012821282128212821,-5.6340909389369546e-05
0.00012823282328232823,-5.636774075765965e-05
0.00012825282528252825,-5.639474609508736e-05
0.00012827282728272826,-5.6421923985226886e-05
0.00012829282928292828,-5.6449272992779445e-05
0.0001283128312831283,-5.647679166378929e-05
0.00012833283328332832,-5.650447852585982e-05
0.00012835283528352833,-5.653233208836957e-05
0.00012837283728372838,-5.656035084268838e-05
0.0001283928392839284,-5.6588533262393256e-05
0.0001284128412841284,-5.6616877803484693e-05
0.00012843284328432843,-5.664538290460258e-05
0.00012845284528452844,-5.6674046987242276e-05
0.00012847284728472846,-5.6702868455970685e-05
0.00012849284928492848,-5.673184569864234e-05
0.0001285128512851285,-5.6760977086615425e-05
0.0001285328532853285,-5.6790260974967877e-05
0.00012855285528552856,-5.681969570271345e-05
0.00012857285728572857,-5.684927959301764e-05
0.0001285928592859286,-5.6879010953414e-05
0.0001286128612861286,-5.690888807602001e-05
0.00012863286328632862,-5.693890923775318e-05
0.00012865286528652864,-5.6969072700547144e-05
0.00012867286728672866,-5.699937671156771e-05
0.00012869286928692867,-5.7029819503428895e-05
0.0001287128712871287,-5.706039929440901e-05
0.00012873287328732874,-5.709111428866678e-05
0.00012875287528752875,-5.71219626764572e-05
0.00012877287728772877,-5.715294263434786e-05
0.0001287928792879288,-5.718405232543488e-05
0.0001288128812881288,-5.721528989955895e-05
0.00012883288328832882,-5.724665349352143e-05
0.00012885288528852884,-5.7278141231300414e-05
0.00012887288728872885,-5.730975122426677e-05
0.00012889288928892887,-5.734148157140023e-05
0.00012891289128912892,-5.737333035950545e-05
0.00012893289328932893,-5.7405295663427975e-05
0.00012895289528952895,-5.743737554627047e-05
0.00012897289728972897,-5.746956805960867e-05
0.00012899289928992898,-5.750187124370747e-05
0.000129012901290129,-5.753428312773699e-05
0.00012903290329032902,-5.7566801729988615e-05
0.00012905290529052903,-5.759942505809109e-05
0.00012907290729072905,-5.763215110922655e-05
0.0001290929092909291,-5.766497787034666e-05
0.0001291129112911291,-5.7697903318388474e-05
0.00012913291329132913,-5.7730925420490765e-05
0.00012915291529152915,-5.776404213420992e-05
0.00012917291729172916,-5.7797251407736035e-05
0.00012919291929192918,-5.7830551180108994e-05
0.0001292129212921292,-5.786393938143452e-05
0.00012923292329232921,-5.789741393310023e-05
0.00012925292529252926,-5.7930972747991744e-05
0.00012927292729272927,-5.796461373070859e-05
0.0001292929292929293,-5.79983347777805e-05
0.0001293129312931293,-5.803213377788332e-05
0.00012933293329332933,-5.8066008612055096e-05
0.00012935293529352934,-5.809995715391217e-05
0.00012937293729372936,-5.813397726986519e-05
0.00012939293929392938,-5.816806681933523e-05
0.0001294129412941294,-5.820222365496979e-05
0.00012943294329432944,-5.823644562285896e-05
0.00012945294529452945,-5.827073056275127e-05
0.00012947294729472947,-5.830507630827002e-05
0.0001294929492949295,-5.833948068712919e-05
0.0001295129512951295,-5.837394152134951e-05
0.00012953295329532952,-5.8408456627474555e-05
0.00012955295529552954,-5.844302381678678e-05
0.00012957295729572956,-5.847764089552361e-05
0.00012959295929592957,-5.851230566509346e-05
0.00012961296129612962,-5.8547015922291894e-05
0.00012963296329632963,-5.858176945951746e-05
0.00012965296529652965,-5.861656406498805e-05
0.00012967296729672967,-5.86513975229568e-05
0.00012969296929692969,-5.868626761392812e-05
0.0001297129712971297,-5.8721172114873856e-05
0.00012973297329732972,-5.875610879944927e-05
0.00012975297529752974,-5.879107543820915e-05
0.00012977297729772975,-5.882606979882387e-05
0.0001297929792979298,-5.886108964629545e-05
0.00012981298129812981,-5.889613274317351e-05
0.00012983298329832983,-5.893119684977153e-05
0.00012985298529852985,-5.896627972438279e-05
0.00012987298729872986,-5.9001379123496445e-05
0.00012989298929892988,-5.9036492802013594e-05
0.0001299129912991299,-5.9071618513463344e-05
0.00012993299329932992,-5.9106754010218865e-05
0.00012995299529952993,-5.9141897043713475e-05
0.00012997299729972998,-5.9177045364656706e-05
0.00012999299929993,-5.921219672325022e-05
0.00013001300130013,-5.924734886940414e-05
0.00013003300330033003,-5.9282499552952904e-05
0.00013005300530053004,-5.931764652387141e-05
0.00013007300730073006,-5.935278753249103e-05
0.00013009300930093008,-5.938792032971574e-05
0.0001301130113011301,-5.9423042667238114e-05
0.0001301330133013301,-5.9458152297755406e-05
0.00013015301530153016,-5.94932469751857e-05
0.00013017301730173017,-5.952832445488372e-05
0.0001301930193019302,-5.956338249385722e-05
0.0001302130213021302,-5.9598418850982836e-05
0.00013023302330233022,-5.963343128722221e-05
0.00013025302530253024,-5.9668417565838025e-05
0.00013027302730273026,-5.9703375452610124e-05
0.00013029302930293027,-5.973830271605148e-05
0.0001303130313031303,-5.977319712762436e-05
0.00013033303330333034,-5.980805646195636e-05
0.00013035303530353035,-5.984287849705631e-05
0.00013037303730373037,-5.9877661014530604e-05
0.0001303930393039304,-5.991240179979909e-05
0.0001304130413041304,-5.9947098642311184e-05
0.00013043304330433042,-5.9981749335761884e-05
0.00013045304530453044,-6.0016351678307904e-05
0.00013047304730473045,-6.005090347278368e-05
0.00013049304930493047,-6.008540252691745e-05
0.00013051305130513052,-6.0119846653547365e-05
0.00013053305330533053,-6.0154233670837366e-05
0.00013055305530553055,-6.0188561402493524e-05
0.00013057305730573057,-6.0222827677979905e-05
0.00013059305930593058,-6.02570303327347e-05
0.0001306130613061306,-6.0291167208386266e-05
0.00013063306330633062,-6.0325236152969185e-05
0.00013065306530653063,-6.035923502114037e-05
0.00013067306730673065,-6.039316167439505e-05
0.0001306930693069307,-6.0427013981282965e-05
0.0001307130713071307,-6.046078981762417e-05
0.00013073307330733073,-6.0494487066725426e-05
0.00013075307530753075,-6.052810361959604e-05
0.00013077307730773076,-6.056163737516399e-05
0.00013079307930793078,-6.0595086240491993e-05
0.0001308130813081308,-6.062844813099355e-05
0.00013083308330833081,-6.0661720970649034e-05
0.00013085308530853083,-6.069490269222172e-05
0.00013087308730873087,-6.072799123747391e-05
0.0001308930893089309,-6.0760984557382814e-05
0.0001309130913091309,-6.0793880612356885e-05
0.00013093309330933093,-6.082667737245169e-05
0.00013095309530953094,-6.085937281758603e-05
0.00013097309730973096,-6.0891964937757976e-05
0.00013099309930993098,-6.092445173326098e-05
0.000131013101310131,-6.0956831214899886e-05
0.00013103310331033104,-6.0989101404207054e-05
0.00013105310531053105,-6.102126033365826e-05
0.00013107310731073107,-6.105330604688902e-05
0.0001310931093109311,-6.108523659891043e-05
0.0001311131113111311,-6.111705005632535e-05
0.00013113311331133112,-6.11487444975444e-05
0.00013115311531153114,-6.118031801300206e-05
0.00013117311731173116,-6.12117687053727e-05
0.00013119311931193117,-6.124309468978667e-05
0.00013121312131213122,-6.127429409404642e-05
0.00013123312331233123,-6.130536505884232e-05
0.00013125312531253125,-6.133630573796904e-05
0.00013127312731273127,-6.136711429854145e-05
0.00013129312931293129,-6.139778892121069e-05
0.0001313131313131313,-6.142832780038019e-05
0.00013133313331333132,-6.145872914442186e-05
0.00013135313531353134,-6.148899117589206e-05
0.00013137313731373135,-6.151911213174762e-05
0.0001313931393139314,-6.154909026356206e-05
0.00013141314131413141,-6.157892383774141e-05
0.00013143314331433143,-6.160861113574053e-05
0.00013145314531453145,-6.163815045427904e-05
0.00013147314731473146,-6.166754010555734e-05
0.00013149314931493148,-6.16967784174728e-05
0.0001315131513151315,-6.17258637338357e-05
0.00013153315331533152,-6.175479441458536e-05
0.00013155315531553153,-6.17835688360062e-05
0.00013157315731573158,-6.18121853909438e-05
0.0001315931593159316,-6.184064248902084e-05
0.0001316131613161316,-6.18689385568534e-05
0.00013163316331633163,-6.189707203826684e-05
